first_name;last_name;middle_name;birth_date;position
"Сергей";"Клюев";"Сергеевич";"1967-4-22";"teacher"
"Алексей";"Максименко";"Сергеевич";"1964-8-18";"head_teacher"
"Сергей";"Клюев";"Александрович";"1969-1-26";"teacher"
"Алексей";"Дунаев";"Владимирович";"1964-4-13";"teacher"
"Иван";"Павлов";"Владимирович";"1965-5-8";"head_teacher"
"Алексей";"Седько";"Алексеевич";"1975-5-23";"head_teacher"
"Алексей";"Дунаев";"Алексеевич";"1988-7-5";"teacher"
"Алексей";"Максименко";"Сергеевич";"1998-1-8";"head_teacher"
"Алексей";"Седько";"Алексеевич";"1993-4-1";"teacher"
"Григорий";"Ришатов";"Александрович";"1979-4-16";"head_teacher"
"Нина";"Суворина";"Алексеевна";"1981-3-6";"teacher"
"Нина";"Логвина";"Владимировна";"1961-5-21";"head_teacher"
"Евгений";"Седько";"Алексеевич";"1992-11-24";"head_teacher"
"Людмила";"Логвина";"Максимовна";"1977-5-13";"head_teacher"
"Ксения";"Логвина";"Максимовна";"1971-4-20";"teacher"
"Клава";"Логвина";"Владимировна";"1985-4-9";"head_teacher"
"Григорий";"Дунаев";"Максимович";"1991-2-20";"teacher"
"Ксения";"Фукина";"Максимовна";"1962-4-27";"head_teacher"
"Клава";"Миклуш";"Владимировна";"1963-4-24";"head_teacher"
"Сергей";"Максименко";"Алексеевич";"1975-1-27";"head_teacher"
"Алексей";"Клюев";"Алексеевич";"1977-8-9";"teacher"
"Владимир";"Дунаев";"Владимирович";"1964-2-18";"teacher"
"Ксения";"Волошина";"Александровна";"1972-1-3";"head_teacher"
"Ксения";"Логвина";"Владимировна";"1986-12-15";"teacher"
"Галина";"Фукина";"Алексеевна";"1984-7-3";"teacher"
"Владимир";"Павлов";"Алексеевич";"1990-4-18";"teacher"
"Ксения";"Миклуш";"Алексеевна";"1988-2-7";"teacher"
"Евгений";"Клюев";"Сергеевич";"1967-10-17";"head_teacher"
"Галина";"Миклуш";"Владимировна";"1975-5-9";"teacher"
"Евгений";"Павлов";"Максимович";"1970-3-8";"head_teacher"
"Иван";"Клюев";"Сергеевич";"1998-12-28";"head_teacher"
"Клава";"Логвина";"Сергеевна";"1986-3-20";"teacher"
"Григорий";"Максименко";"Алексеевич";"1972-1-12";"head_teacher"
"Григорий";"Павлов";"Алексеевич";"1966-8-7";"head_teacher"
"Григорий";"Дунаев";"Сергеевич";"1991-8-11";"head_teacher"
"Владимир";"Ришатов";"Сергеевич";"1969-9-10";"teacher"
"Ксения";"Пешкина";"Александровна";"1996-6-4";"teacher"
"Алексей";"Клюев";"Максимович";"1989-6-7";"teacher"
"Людмила";"Логвина";"Александровна";"1985-8-20";"teacher"
"Алексей";"Седько";"Владимирович";"1992-12-3";"teacher"
"Ксения";"Миклуш";"Владимировна";"1976-2-17";"teacher"
"Иван";"Седько";"Владимирович";"1974-8-11";"teacher"
"Сергей";"Павлов";"Александрович";"1960-3-6";"head_teacher"
"Сергей";"Дунаев";"Максимович";"1992-4-1";"head_teacher"
"Полина";"Фукина";"Сергеевна";"1992-9-28";"teacher"
"Иван";"Максименко";"Алексеевич";"1983-11-26";"teacher"
"Владимир";"Седько";"Алексеевич";"1985-3-5";"teacher"
"Григорий";"Павлов";"Максимович";"1996-7-10";"teacher"
"Ксения";"Логвина";"Владимировна";"1970-5-10";"teacher"
"Галина";"Фукина";"Алексеевна";"1977-5-18";"head_teacher"
"Полина";"Суворина";"Владимировна";"1993-2-7";"teacher"
"Сергей";"Дунаев";"Александрович";"1978-5-20";"head_teacher"
