first_name;last_name;middle_name;birth_date;gender;is_vaccinated
"Григорий";"Павлов";"Владимирович";"1966-11-28";"male";True
"Алексей";"Павлов";"Алексеевич";"1998-3-26";"female";True
"Нина";"Логвина";"Александровна";"1996-3-13";"male";True
"Ксения";"Суворина";"Владимировна";"1971-6-23";"female";False
"Владимир";"Седько";"Алексеевич";"1977-6-8";"female";False
"Иван";"Седько";"Алексеевич";"1973-7-19";"male";True
"Людмила";"Миклуш";"Сергеевна";"1971-8-2";"male";True
"Владимир";"Дунаев";"Алексеевич";"1962-6-4";"male";True
"Полина";"Миклуш";"Максимовна";"1962-4-14";"female";True
"Клава";"Пешкина";"Максимовна";"1990-5-23";"female";True
"Клава";"Фукина";"Александровна";"1985-6-19";"female";True
"Алексей";"Клюев";"Алексеевич";"1970-8-22";"female";False
"Евгений";"Максименко";"Алексеевич";"1991-4-18";"male";False
"Нина";"Логвина";"Алексеевна";"1997-4-1";"female";True
"Григорий";"Ришатов";"Алексеевич";"1988-10-3";"female";False
"Клава";"Фукина";"Владимировна";"1982-2-10";"female";False
"Григорий";"Ришатов";"Сергеевич";"1961-12-7";"female";False
"Галина";"Пешкина";"Александровна";"1965-2-17";"male";True
"Евгений";"Клюев";"Максимович";"1972-8-14";"female";False
"Ксения";"Волошина";"Максимовна";"1981-11-22";"female";False
"Клава";"Волошина";"Владимировна";"1973-9-16";"female";True
"Евгений";"Максименко";"Александрович";"1986-4-25";"female";False
"Алексей";"Седько";"Алексеевич";"1967-9-28";"female";True
"Алексей";"Павлов";"Максимович";"1988-6-27";"female";True
"Ксения";"Логвина";"Алексеевна";"1985-10-19";"female";False
"Сергей";"Клюев";"Владимирович";"1979-6-5";"female";True
"Сергей";"Максименко";"Владимирович";"1973-8-21";"male";False
"Галина";"Волошина";"Александровна";"1963-11-6";"male";True
"Галина";"Пешкина";"Сергеевна";"1969-8-15";"female";True
"Галина";"Фукина";"Алексеевна";"1981-12-2";"female";True
"Владимир";"Ришатов";"Сергеевич";"1984-2-21";"male";True
"Полина";"Волошина";"Сергеевна";"2000-5-4";"female";True
"Иван";"Седько";"Сергеевич";"1983-12-19";"female";True
"Иван";"Максименко";"Владимирович";"1979-4-5";"male";True
"Клава";"Волошина";"Максимовна";"1962-7-1";"female";True
"Иван";"Павлов";"Александрович";"1995-3-4";"male";False
"Нина";"Волошина";"Александровна";"1990-11-9";"male";True
"Клава";"Миклуш";"Александровна";"2000-8-11";"male";False
"Евгений";"Клюев";"Сергеевич";"1962-12-18";"male";True
"Клава";"Логвина";"Александровна";"1997-4-8";"female";False
"Клава";"Волошина";"Максимовна";"1961-9-14";"female";True
"Галина";"Фукина";"Владимировна";"1987-4-21";"female";False
"Сергей";"Павлов";"Александрович";"1996-6-26";"female";False
"Владимир";"Ришатов";"Владимирович";"1969-6-16";"female";False
"Владимир";"Ришатов";"Алексеевич";"1969-12-22";"male";False
"Ксения";"Пешкина";"Владимировна";"1989-2-15";"male";True
"Иван";"Седько";"Алексеевич";"1980-6-14";"female";False
"Иван";"Максименко";"Максимович";"1992-8-27";"female";True
"Иван";"Дунаев";"Александрович";"1966-1-20";"male";True
"Галина";"Фукина";"Алексеевна";"1977-8-15";"female";True
"Полина";"Логвина";"Максимовна";"1987-4-19";"male";False
"Григорий";"Павлов";"Максимович";"1968-8-2";"male";False
"Галина";"Фукина";"Владимировна";"1999-8-26";"male";False
"Владимир";"Павлов";"Алексеевич";"1997-6-14";"female";False
"Евгений";"Дунаев";"Сергеевич";"1975-9-10";"female";True
"Людмила";"Логвина";"Александровна";"1999-1-19";"male";False
"Евгений";"Ришатов";"Владимирович";"1966-12-3";"female";True
"Галина";"Фукина";"Владимировна";"1996-9-28";"male";True
"Ксения";"Миклуш";"Сергеевна";"1997-5-19";"female";True
"Григорий";"Максименко";"Владимирович";"1987-4-22";"female";True
